Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
4th,RB,RB,RB,WR,WR,QB,QB,WR,WR,0,1,5,3,1608.36916
6th,RB,WR,RB,WR,TE,QB,QB,WR,WR,0,3,5,1,1608.3205
1st,RB,RB,RB,WR,WR,QB,TE,WR,QB,0,1,7,1,1608.28082
6th,WR,WR,TE,WR,QB,WR,RB,WR,WR,1,6,1,1,1608.20538
6th,RB,RB,RB,QB,WR,WR,TE,QB,WR,0,1,7,1,1608.19072
1st,RB,WR,RB,QB,WR,WR,RB,TE,QB,0,3,4,2,1608
1st,RB,WR,WR,WR,RB,RB,RB,QB,TE,1,1,5,2,1608
1st,RB,TE,RB,WR,TE,WR,TE,QB,QB,0,4,5,0,1608
12th,WR,RB,TE,WR,RB,QB,WR,QB,RB,0,4,4,1,1608
4th,RB,RB,WR,QB,TE,WR,RB,WR,WR,2,2,5,0,1608
12th,WR,RB,RB,RB,QB,QB,WR,TE,WR,0,2,5,2,1608
9th,RB,WR,WR,QB,QB,WR,WR,TE,WR,0,6,2,1,1608
1st,WR,RB,WR,WR,WR,QB,TE,RB,QB,1,4,3,1,1608
1st,RB,TE,WR,WR,QB,QB,WR,RB,QB,0,3,5,1,1608
9th,RB,WR,WR,QB,WR,WR,RB,WR,TE,1,4,3,1,1608
1st,RB,WR,WR,QB,QB,WR,WR,TE,WR,0,6,2,1,1608
1st,RB,WR,WR,WR,WR,RB,WR,QB,TE,1,4,3,1,1608
12th,WR,RB,WR,WR,QB,TE,WR,QB,WR,0,4,3,2,1608
9th,RB,WR,WR,WR,WR,QB,RB,WR,TE,1,4,3,1,1608
1st,RB,RB,WR,TE,WR,QB,TE,RB,QB,1,4,4,0,1608
4th,RB,WR,WR,WR,TE,QB,QB,TE,WR,0,6,3,0,1608
1st,RB,WR,WR,WR,RB,QB,RB,QB,RB,0,3,5,1,1608
6th,RB,WR,WR,WR,QB,TE,TE,QB,WR,0,6,3,0,1608
6th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,6,2,1,1608
12th,WR,RB,TE,RB,WR,RB,QB,QB,WR,0,4,5,0,1608
1st,RB,WR,WR,TE,QB,TE,WR,QB,WR,0,6,3,0,1608
4th,WR,RB,WR,QB,QB,WR,RB,RB,RB,0,4,3,2,1608
1st,RB,WR,RB,WR,RB,RB,QB,TE,QB,1,2,5,1,1608
9th,RB,WR,WR,TE,WR,QB,RB,WR,WR,1,4,3,1,1608
12th,RB,RB,RB,WR,WR,TE,WR,QB,WR,1,1,6,1,1607.5793
1st,RB,WR,QB,TE,WR,RB,RB,WR,QB,0,2,6,1,1607.55722
1st,RB,RB,RB,WR,WR,WR,QB,WR,QB,0,2,4,3,1607.54854
12th,WR,RB,WR,QB,WR,WR,QB,RB,RB,0,2,5,2,1607.47686
1st,RB,WR,RB,TE,WR,TE,WR,QB,RB,1,2,6,0,1607.42836
12th,RB,RB,RB,QB,WR,WR,TE,QB,WR,0,1,7,1,1607.4072
1st,RB,RB,WR,WR,WR,QB,RB,TE,WR,1,2,5,1,1607.36952
1st,WR,RB,WR,TE,QB,WR,QB,TE,RB,0,3,6,0,1607.26644
12th,WR,RB,TE,WR,WR,TE,RB,QB,RB,1,2,6,0,1607.21732
1st,RB,WR,WR,QB,WR,TE,WR,QB,WR,0,4,5,0,1607.21102
1st,RB,WR,WR,WR,WR,WR,RB,QB,TE,1,3,3,2,1607.18042
