Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
12th,WR,RB,TE,RB,WR,WR,QB,RB,WR,1,2,5,1,1606.5184
12th,WR,RB,TE,WR,WR,WR,QB,RB,WR,1,4,3,1,1606.43184
12th,WR,RB,WR,RB,RB,WR,QB,QB,WR,0,3,3,3,1606.41224
1st,RB,RB,WR,QB,WR,RB,WR,RB,QB,0,0,7,2,1606.23856
12th,WR,RB,RB,WR,TE,WR,QB,TE,RB,1,3,5,0,1606.14804
1st,RB,WR,WR,RB,RB,QB,QB,TE,WR,0,2,6,1,1606.11732
4th,RB,RB,RB,WR,WR,WR,QB,TE,WR,1,1,6,1,1606.1015
4th,RB,RB,RB,QB,WR,WR,TE,QB,WR,0,1,7,1,1606.08012
6th,RB,RB,RB,WR,WR,WR,TE,QB,WR,1,2,5,1,1606.01874
12th,WR,WR,RB,RB,TE,TE,QB,QB,RB,0,4,5,0,1606
6th,RB,WR,WR,WR,WR,QB,TE,QB,TE,0,6,3,0,1606
1st,RB,RB,WR,WR,TE,TE,TE,QB,QB,0,3,6,0,1606
1st,RB,WR,RB,QB,RB,WR,QB,WR,TE,0,2,5,2,1606
1st,WR,RB,WR,TE,TE,QB,WR,WR,QB,0,6,3,0,1606
6th,WR,WR,WR,QB,TE,QB,TE,WR,WR,0,7,2,0,1606
1st,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,3,5,1,1606
1st,RB,RB,WR,WR,TE,TE,QB,QB,WR,0,4,5,0,1606
4th,RB,WR,WR,QB,QB,WR,WR,TE,WR,0,6,2,1,1606
6th,RB,WR,RB,QB,RB,RB,QB,WR,WR,0,2,5,2,1605.97378
4th,RB,RB,RB,TE,QB,WR,WR,WR,WR,1,2,5,1,1605.96184
9th,RB,WR,QB,WR,WR,WR,RB,WR,QB,0,4,3,2,1605.82916
12th,WR,WR,WR,RB,TE,QB,WR,QB,WR,0,6,2,1,1605.76682
12th,WR,RB,TE,RB,QB,WR,QB,TE,RB,0,2,7,0,1605.66198
1st,RB,WR,RB,QB,TE,QB,WR,WR,RB,0,3,5,1,1605.66186
6th,RB,WR,QB,WR,WR,WR,RB,WR,QB,0,4,3,2,1605.48044
6th,RB,WR,QB,RB,WR,WR,TE,WR,RB,1,2,5,1,1605.4687
4th,RB,RB,WR,QB,RB,TE,WR,WR,RB,1,2,5,1,1605.44142
9th,RB,WR,QB,TE,WR,QB,TE,WR,RB,0,3,6,0,1605.4393
1st,RB,WR,WR,QB,QB,RB,TE,RB,WR,0,3,5,1,1605.37662
4th,RB,WR,TE,WR,QB,QB,RB,WR,RB,0,2,6,1,1605.37152
6th,RB,RB,RB,WR,WR,WR,QB,WR,TE,1,1,6,1,1605.29598
9th,RB,WR,QB,RB,WR,QB,WR,RB,WR,0,2,4,3,1605.2947
12th,RB,WR,TE,WR,WR,TE,QB,QB,WR,0,4,5,0,1605.27832
12th,WR,RB,RB,WR,WR,WR,QB,RB,WR,1,3,3,2,1605.25832
4th,TE,RB,WR,QB,QB,WR,WR,RB,RB,0,2,6,1,1605.2358
6th,WR,WR,RB,WR,QB,WR,RB,WR,RB,1,3,3,2,1605.21944
12th,WR,RB,TE,RB,WR,TE,RB,QB,RB,1,2,6,0,1605.1693
4th,RB,WR,RB,QB,WR,WR,QB,WR,WR,0,3,4,2,1605.16854
12th,WR,RB,TE,WR,TE,WR,QB,RB,RB,1,3,5,0,1605.15524
12th,RB,RB,RB,TE,WR,QB,QB,QB,WR,0,1,7,1,1605.14074
4th,RB,RB,RB,WR,QB,RB,QB,WR,RB,0,0,7,2,1605.13604
12th,RB,RB,RB,TE,WR,WR,WR,QB,WR,1,2,5,1,1605.06758
1st,RB,RB,TE,WR,QB,WR,RB,WR,QB,0,3,5,1,1605.05322
1st,WR,WR,WR,WR,WR,WR,WR,RB,QB,1,5,0,3,1605.04188
12th,WR,RB,TE,WR,RB,QB,WR,QB,WR,0,5,3,1,1605.0235
1st,WR,RB,WR,QB,WR,WR,QB,RB,RB,0,2,5,2,1605.00306
12th,WR,RB,TE,RB,TE,WR,RB,QB,RB,2,2,5,0,1605
1st,RB,WR,WR,QB,WR,WR,RB,WR,TE,1,4,3,1,1605
6th,WR,RB,WR,QB,WR,RB,RB,WR,RB,1,1,4,3,1605
1st,WR,WR,RB,TE,WR,RB,QB,TE,QB,1,5,3,0,1605
6th,RB,WR,WR,TE,WR,QB,RB,WR,WR,1,4,3,1,1605
6th,RB,WR,WR,WR,QB,RB,RB,WR,TE,1,3,4,1,1605
6th,RB,RB,WR,WR,WR,WR,QB,QB,TE,0,2,5,2,1605
4th,RB,WR,WR,WR,QB,WR,WR,TE,QB,0,6,2,1,1605
4th,RB,RB,WR,WR,QB,RB,QB,WR,TE,1,1,5,2,1605
1st,RB,WR,TE,QB,WR,WR,TE,QB,WR,0,6,3,0,1605
4th,RB,RB,WR,QB,WR,WR,RB,WR,RB,1,1,4,3,1605
1st,RB,RB,WR,WR,WR,WR,TE,QB,RB,1,2,4,2,1605
1st,RB,WR,WR,QB,TE,QB,WR,WR,TE,0,6,3,0,1605
12th,WR,RB,RB,QB,WR,WR,QB,RB,RB,0,1,5,3,1604.94082
1st,RB,RB,RB,WR,WR,QB,TE,TE,QB,0,1,8,0,1604.91882
6th,WR,WR,WR,WR,WR,WR,WR,QB,RB,2,4,0,3,1604.868
1st,RB,WR,TE,WR,WR,TE,QB,QB,WR,0,4,5,0,1604.84634
4th,RB,WR,RB,RB,WR,QB,QB,RB,WR,0,2,5,2,1604.77592
6th,RB,RB,RB,WR,WR,QB,QB,WR,WR,0,1,5,3,1604.76732
1st,WR,RB,WR,WR,WR,WR,RB,QB,TE,1,4,3,1,1604.72152
1st,RB,WR,QB,WR,WR,RB,QB,TE,QB,0,4,4,1,1604.62528
6th,RB,RB,RB,WR,QB,RB,QB,TE,WR,0,1,7,1,1604.62436
1st,RB,RB,RB,TE,WR,RB,QB,QB,RB,0,0,8,1,1604.58968
12th,WR,RB,TE,RB,QB,RB,WR,QB,TE,0,2,7,0,1604.57264
6th,WR,RB,TE,WR,WR,WR,QB,QB,WR,0,4,4,1,1604.5615
1st,WR,WR,TE,WR,RB,QB,WR,TE,QB,0,7,2,0,1604.55814
1st,RB,WR,WR,QB,QB,WR,TE,WR,RB,0,3,5,1,1604.54504
12th,WR,RB,TE,WR,WR,QB,TE,QB,WR,0,4,5,0,1604.53412
1st,WR,WR,WR,TE,QB,RB,WR,RB,RB,1,3,4,1,1604.46218
6th,RB,WR,QB,WR,TE,QB,RB,WR,WR,0,3,5,1,1604.4241
1st,WR,WR,WR,WR,WR,WR,WR,QB,RB,2,5,0,2,1604.30352
6th,RB,WR,TE,RB,RB,WR,QB,QB,RB,0,3,5,1,1604.2814
4th,RB,RB,RB,QB,WR,WR,WR,WR,QB,0,1,6,2,1604.26266
12th,WR,RB,TE,QB,TE,WR,QB,QB,WR,0,5,4,0,1604.23702
4th,WR,RB,TE,QB,RB,QB,RB,RB,TE,0,2,7,0,1604.20124
4th,RB,RB,RB,RB,QB,TE,QB,TE,WR,0,0,8,1,1604.14364
9th,RB,WR,QB,QB,WR,RB,WR,WR,TE,0,4,3,2,1604.11548
1st,RB,QB,WR,WR,TE,RB,RB,RB,QB,0,2,6,1,1604.00468
4th,RB,RB,WR,QB,WR,RB,QB,TE,TE,0,3,6,0,1604
1st,RB,QB,WR,WR,WR,RB,QB,QB,TE,0,5,3,1,1604
6th,WR,WR,WR,WR,QB,TE,QB,WR,TE,0,9,0,0,1604
1st,RB,RB,WR,QB,RB,WR,WR,QB,RB,1,1,5,2,1604
4th,RB,WR,WR,QB,TE,WR,RB,WR,WR,1,4,3,1,1604
1st,RB,WR,RB,WR,QB,QB,RB,TE,WR,0,4,4,1,1604
1st,WR,WR,WR,RB,WR,QB,TE,RB,RB,1,4,3,1,1604
1st,WR,WR,RB,RB,WR,RB,WR,QB,RB,1,1,5,2,1604
1st,RB,WR,WR,TE,QB,WR,RB,WR,WR,1,4,3,1,1604
6th,WR,RB,WR,WR,QB,WR,TE,QB,RB,0,5,2,2,1604
1st,RB,RB,WR,WR,WR,WR,RB,WR,QB,1,2,3,3,1604
6th,RB,WR,WR,WR,RB,TE,QB,WR,RB,1,3,4,1,1604
4th,RB,WR,WR,WR,WR,QB,RB,WR,TE,1,4,3,1,1604
12th,RB,RB,WR,WR,WR,WR,QB,QB,TE,0,2,5,2,1604
6th,RB,RB,WR,WR,WR,TE,QB,WR,QB,0,3,4,2,1604
6th,RB,WR,WR,WR,WR,QB,TE,TE,QB,0,6,3,0,1604
12th,RB,RB,RB,TE,QB,WR,QB,WR,WR,0,1,7,1,1603.80008
1st,RB,WR,WR,WR,WR,WR,TE,QB,RB,1,3,4,1,1603.7575
9th,RB,WR,TE,QB,QB,WR,TE,WR,WR,0,4,5,0,1603.73316
1st,RB,WR,RB,RB,WR,QB,QB,RB,WR,0,2,5,2,1603.68884
12th,RB,RB,RB,RB,WR,WR,WR,QB,TE,1,0,6,2,1603.60022
12th,WR,RB,QB,RB,TE,WR,QB,RB,TE,0,3,6,0,1603.56232
6th,WR,RB,RB,TE,WR,WR,QB,RB,WR,1,2,5,1,1603.52916
6th,WR,WR,RB,RB,TE,WR,RB,QB,WR,1,3,4,1,1603.42412
12th,WR,RB,QB,RB,WR,WR,QB,RB,WR,0,2,5,2,1603.40496
9th,RB,RB,WR,WR,WR,QB,RB,WR,RB,1,1,5,2,1603.40234
1st,RB,RB,WR,TE,WR,RB,RB,QB,WR,1,1,6,1,1603.30566
4th,WR,RB,WR,QB,WR,TE,RB,RB,TE,1,2,5,1,1603.28506
6th,WR,RB,RB,TE,QB,WR,QB,TE,RB,0,2,7,0,1603.28068
6th,RB,RB,RB,QB,WR,QB,TE,WR,WR,0,2,6,1,1603.22502
12th,WR,RB,TE,QB,WR,WR,QB,RB,RB,0,3,5,1,1603.21106
1st,WR,RB,WR,WR,RB,QB,TE,QB,WR,0,3,5,1,1603.19184
12th,WR,RB,RB,QB,RB,RB,WR,QB,TE,0,1,7,1,1603.12068
6th,RB,WR,WR,WR,WR,QB,RB,WR,WR,1,2,3,3,1603.11452
12th,RB,RB,RB,WR,WR,WR,TE,QB,WR,1,2,5,1,1603.0513
1st,RB,WR,WR,RB,TE,TE,QB,QB,WR,0,4,5,0,1603
6th,RB,WR,RB,QB,WR,WR,TE,WR,QB,0,3,4,2,1603
4th,RB,WR,WR,WR,QB,WR,RB,WR,TE,1,4,3,1,1603
12th,WR,RB,WR,QB,RB,WR,WR,QB,WR,0,5,2,2,1603
1st,WR,WR,WR,WR,WR,WR,TE,RB,QB,1,5,1,2,1603
1st,WR,WR,WR,RB,RB,RB,QB,QB,WR,0,3,3,3,1603
12th,RB,WR,WR,RB,QB,WR,QB,TE,RB,0,3,5,1,1603
4th,RB,WR,WR,WR,QB,WR,TE,QB,TE,0,6,3,0,1603
1st,RB,WR,WR,WR,WR,WR,TE,QB,WR,1,5,2,1,1603
9th,RB,RB,WR,QB,WR,RB,WR,WR,RB,1,1,4,3,1603
4th,RB,RB,WR,WR,QB,TE,TE,RB,WR,0,3,6,0,1603
4th,RB,WR,WR,QB,WR,WR,TE,WR,QB,0,6,2,1,1603
4th,WR,RB,RB,WR,QB,WR,WR,TE,QB,0,3,5,1,1603
6th,RB,WR,WR,QB,WR,QB,WR,TE,WR,0,6,2,1,1603
1st,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,4,4,1,1603
1st,RB,WR,WR,TE,QB,WR,WR,RB,RB,2,3,3,1,1603
6th,RB,RB,RB,TE,QB,WR,WR,QB,WR,0,1,7,1,1602.9631
4th,RB,RB,TE,WR,QB,QB,RB,WR,WR,0,3,5,1,1602.95376
9th,RB,RB,RB,QB,WR,QB,WR,WR,WR,0,1,6,2,1602.9213
6th,WR,QB,WR,RB,TE,WR,QB,RB,RB,0,4,4,1,1602.91956
12th,RB,WR,RB,RB,WR,TE,QB,QB,WR,0,2,6,1,1602.91358
6th,WR,WR,WR,WR,WR,WR,WR,QB,RB,1,5,0,3,1602.91184
6th,RB,RB,WR,WR,WR,WR,RB,QB,TE,1,2,5,1,1602.81386
1st,WR,WR,WR,RB,TE,QB,WR,QB,WR,0,6,2,1,1602.77022
4th,RB,RB,TE,WR,QB,WR,RB,WR,QB,0,3,5,1,1602.75184
1st,RB,RB,WR,RB,WR,RB,RB,WR,QB,1,0,6,2,1602.69814
12th,RB,RB,RB,WR,WR,WR,WR,QB,TE,1,2,5,1,1602.65614
6th,RB,RB,WR,TE,WR,RB,QB,QB,QB,0,1,7,1,1602.63486
6th,WR,WR,RB,QB,QB,TE,RB,WR,RB,0,3,5,1,1602.62364
6th,RB,RB,RB,WR,QB,RB,QB,WR,RB,0,0,7,2,1602.6197
1st,WR,RB,TE,QB,WR,WR,QB,RB,RB,0,4,4,1,1602.61578
12th,WR,WR,RB,RB,TE,WR,RB,QB,WR,1,3,4,1,1602.5571
12th,WR,RB,TE,QB,WR,WR,QB,RB,RB,0,4,4,1,1602.51528
1st,WR,WR,TE,WR,QB,QB,RB,WR,RB,0,4,4,1,1602.4982
6th,WR,WR,TE,RB,WR,WR,QB,WR,WR,1,5,2,1,1602.49636
12th,WR,RB,TE,WR,WR,WR,QB,RB,RB,1,3,4,1,1602.4473
1st,RB,WR,QB,WR,WR,TE,QB,RB,RB,0,2,5,2,1602.31818
12th,WR,RB,WR,RB,TE,QB,WR,QB,RB,0,5,3,1,1602.28788
1st,RB,RB,TE,TE,WR,RB,WR,QB,RB,1,1,7,0,1602.27228
1st,RB,WR,QB,WR,WR,WR,RB,WR,QB,0,4,3,2,1602.26552
12th,RB,RB,RB,WR,WR,QB,TE,QB,WR,0,1,7,1,1602.26468
12th,WR,RB,RB,TE,QB,TE,RB,QB,TE,0,2,7,0,1602.24386
1st,RB,WR,QB,WR,WR,RB,QB,TE,RB,0,4,4,1,1602.20458
1st,WR,RB,WR,QB,RB,QB,TE,RB,TE,0,2,7,0,1602.2045
4th,WR,RB,WR,QB,RB,QB,WR,WR,TE,0,4,4,1,1602.19556
1st,WR,WR,WR,QB,WR,WR,TE,RB,RB,1,4,3,1,1602.16582
6th,RB,WR,QB,QB,RB,WR,RB,WR,WR,0,3,3,3,1602.12692
4th,RB,WR,WR,RB,RB,QB,QB,TE,WR,0,2,6,1,1602.05414
9th,RB,RB,RB,WR,WR,QB,WR,QB,WR,0,1,5,3,1602.01684
12th,WR,WR,TE,WR,TE,WR,RB,QB,WR,2,5,2,0,1602
9th,RB,WR,WR,QB,TE,WR,RB,WR,WR,1,4,3,1,1602
9th,RB,WR,TE,TE,QB,QB,WR,WR,WR,0,4,5,0,1602
12th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,7,1,1,1602
4th,WR,RB,WR,WR,QB,QB,TE,TE,RB,0,4,4,1,1602
4th,RB,RB,WR,WR,WR,TE,QB,WR,QB,0,3,4,2,1602
4th,WR,TE,WR,QB,WR,QB,RB,WR,TE,0,5,4,0,1602
6th,WR,WR,RB,RB,TE,TE,QB,QB,RB,0,4,5,0,1602
1st,WR,WR,TE,QB,TE,RB,QB,WR,RB,0,5,4,0,1602
1st,RB,RB,TE,WR,TE,WR,RB,QB,QB,0,4,4,1,1602
12th,WR,RB,RB,RB,TE,WR,WR,QB,QB,1,3,5,0,1602
4th,RB,WR,WR,QB,WR,QB,WR,RB,RB,0,4,3,2,1602
1st,RB,WR,WR,RB,WR,QB,WR,QB,WR,0,2,5,2,1602
1st,RB,TE,WR,QB,WR,WR,TE,QB,QB,0,4,5,0,1602
12th,WR,RB,RB,RB,QB,QB,TE,TE,RB,0,0,9,0,1602
6th,WR,WR,WR,RB,TE,RB,QB,RB,QB,0,3,5,1,1602
1st,RB,WR,WR,WR,TE,WR,RB,QB,WR,1,4,3,1,1602
9th,RB,RB,RB,QB,WR,WR,WR,WR,QB,0,1,6,2,1601.92952
6th,RB,WR,WR,RB,RB,WR,QB,WR,RB,1,2,4,2,1601.92846
12th,WR,RB,RB,QB,RB,WR,QB,QB,WR,0,2,5,2,1601.88284
1st,WR,RB,TE,QB,WR,WR,QB,RB,RB,0,3,5,1,1601.8712
6th,WR,RB,WR,WR,QB,WR,QB,TE,RB,0,4,4,1,1601.86768
6th,RB,RB,RB,TE,WR,QB,QB,QB,WR,0,1,7,1,1601.8166
12th,RB,RB,RB,QB,QB,WR,WR,TE,WR,0,1,6,2,1601.80218
12th,WR,RB,TE,WR,WR,WR,QB,RB,WR,1,3,4,1,1601.79026
6th,RB,WR,TE,WR,QB,QB,RB,WR,WR,0,3,5,1,1601.76746
9th,RB,WR,WR,WR,QB,WR,RB,WR,QB,0,4,3,2,1601.6349
1st,WR,WR,TE,WR,RB,QB,QB,RB,WR,0,3,5,1,1601.5914
4th,RB,RB,WR,QB,WR,RB,RB,RB,RB,1,0,6,2,1601.58112
1st,RB,RB,RB,TE,WR,QB,WR,WR,QB,0,1,7,1,1601.43168
6th,RB,RB,RB,QB,TE,WR,TE,WR,WR,1,2,6,0,1601.4016
4th,RB,WR,RB,WR,TE,QB,QB,WR,WR,0,3,5,1,1601.3156
1st,WR,WR,WR,WR,WR,RB,RB,QB,TE,1,3,4,1,1601.30562
6th,RB,RB,RB,WR,QB,RB,QB,WR,WR,0,1,6,2,1601.29134
9th,WR,WR,QB,RB,WR,QB,TE,WR,RB,0,4,4,1,1601.22828
12th,RB,RB,RB,TE,WR,RB,QB,QB,RB,0,0,8,1,1601.19134
6th,RB,WR,TE,QB,QB,TE,RB,WR,WR,0,3,6,0,1601.18276
1st,RB,RB,RB,WR,WR,QB,TE,QB,WR,0,1,7,1,1601.18148
1st,WR,RB,RB,WR,WR,QB,TE,WR,QB,0,4,4,1,1601.12996
6th,WR,RB,TE,RB,WR,WR,QB,QB,WR,0,4,4,1,1601.10042
1st,RB,RB,RB,WR,WR,WR,WR,TE,QB,1,2,5,1,1601.08544
1st,RB,WR,QB,RB,RB,WR,RB,RB,QB,0,0,6,3,1601.0418
1st,RB,WR,RB,RB,TE,QB,WR,WR,QB,0,2,6,1,1601.02616
1st,RB,WR,WR,WR,TE,WR,TE,QB,TE,1,4,4,0,1601
12th,RB,RB,RB,RB,WR,QB,WR,QB,WR,0,0,6,3,1601
12th,WR,RB,WR,WR,QB,RB,TE,QB,WR,0,4,3,2,1601
1st,RB,WR,TE,TE,WR,QB,WR,QB,WR,0,6,3,0,1601
12th,RB,RB,RB,WR,WR,WR,WR,QB,TE,1,2,4,2,1601
9th,RB,WR,WR,QB,WR,WR,TE,WR,QB,0,6,2,1,1601
1st,RB,WR,WR,QB,WR,TE,WR,RB,QB,0,3,4,2,1601
12th,RB,WR,RB,RB,WR,WR,QB,QB,RB,0,2,5,2,1601
6th,WR,WR,RB,RB,RB,QB,QB,WR,WR,0,2,4,3,1601
4th,WR,RB,RB,WR,QB,TE,QB,WR,TE,1,3,5,0,1601
1st,RB,WR,WR,TE,WR,RB,WR,QB,WR,1,4,3,1,1601
1st,RB,RB,RB,TE,WR,WR,TE,QB,QB,0,0,9,0,1601
4th,RB,RB,WR,WR,QB,WR,WR,TE,TE,2,2,5,0,1601
1st,WR,WR,RB,TE,WR,RB,RB,QB,QB,1,5,2,1,1601
1st,RB,WR,WR,WR,RB,QB,RB,TE,TE,1,3,5,0,1601
1st,WR,TE,WR,WR,WR,QB,RB,RB,RB,1,3,4,1,1601
12th,RB,RB,WR,WR,QB,WR,QB,TE,QB,0,3,5,1,1601
1st,RB,WR,QB,WR,RB,QB,TE,WR,RB,0,3,5,1,1600.9832
1st,RB,WR,TE,WR,QB,QB,RB,WR,WR,0,3,5,1,1600.97126
1st,WR,WR,WR,WR,TE,QB,RB,RB,WR,1,3,4,1,1600.96604
1st,RB,RB,WR,WR,QB,RB,QB,WR,QB,0,2,5,2,1600.9102
12th,WR,RB,TE,WR,RB,WR,QB,TE,RB,1,2,6,0,1600.90038
1st,WR,QB,WR,WR,TE,RB,RB,RB,QB,0,4,4,1,1600.8044
12th,WR,RB,WR,TE,QB,WR,QB,TE,RB,0,3,6,0,1600.786
9th,WR,RB,TE,QB,WR,RB,WR,QB,TE,0,3,6,0,1600.75946
6th,WR,WR,WR,WR,WR,RB,TE,QB,QB,0,6,2,1,1600.74604
4th,WR,RB,RB,QB,RB,TE,RB,QB,RB,0,1,7,1,1600.73252
4th,RB,RB,WR,WR,QB,RB,QB,WR,QB,0,2,5,2,1600.70528
6th,RB,RB,WR,QB,WR,RB,QB,RB,WR,0,1,5,3,1600.5946
4th,RB,RB,RB,QB,QB,WR,WR,TE,WR,0,1,6,2,1600.57046
12th,WR,RB,TE,WR,QB,RB,RB,QB,TE,0,2,7,0,1600.54606
6th,RB,WR,WR,QB,RB,WR,WR,WR,WR,1,4,2,2,1600.54554
4th,WR,RB,TE,QB,WR,QB,TE,RB,WR,0,4,5,0,1600.5076
1st,WR,RB,RB,QB,RB,QB,TE,RB,TE,0,1,8,0,1600.46492
12th,WR,RB,TE,WR,RB,WR,QB,RB,TE,1,2,6,0,1600.44646
1st,RB,RB,WR,QB,RB,WR,WR,RB,TE,1,0,7,1,1600.44418
1st,WR,RB,TE,WR,WR,QB,TE,RB,RB,1,3,5,0,1600.43262
1st,RB,WR,QB,RB,WR,TE,RB,QB,WR,0,2,6,1,1600.42892
1st,WR,RB,WR,WR,WR,QB,TE,RB,RB,1,2,5,1,1600.4251
9th,RB,WR,TE,WR,QB,QB,RB,WR,RB,0,2,6,1,1600.3491
1st,WR,RB,RB,TE,QB,WR,QB,TE,RB,0,2,7,0,1600.33624
9th,RB,WR,RB,QB,WR,WR,QB,WR,WR,0,3,4,2,1600.29072
1st,RB,WR,QB,WR,WR,QB,WR,RB,TE,0,4,5,0,1600.23146
1st,WR,RB,WR,QB,TE,RB,WR,QB,TE,0,3,6,0,1600.21778
6th,WR,WR,RB,TE,QB,QB,RB,WR,RB,0,3,4,2,1600.18624
1st,RB,RB,RB,TE,QB,WR,WR,QB,WR,0,1,7,1,1600.183
12th,WR,RB,WR,TE,QB,QB,TE,QB,WR,0,5,4,0,1600.17276
1st,RB,WR,RB,WR,WR,WR,RB,WR,QB,1,3,3,2,1600.15778
6th,RB,WR,RB,RB,WR,TE,QB,QB,WR,0,2,6,1,1600.07038
1st,RB,WR,QB,TE,WR,TE,WR,QB,RB,0,3,6,0,1600.05076
1st,RB,RB,RB,WR,QB,RB,WR,QB,TE,0,1,7,1,1600.02974
6th,RB,WR,WR,WR,QB,TE,RB,WR,WR,1,4,3,1,1600
9th,RB,WR,WR,WR,WR,QB,TE,TE,QB,0,6,3,0,1600
1st,RB,RB,RB,RB,RB,QB,QB,TE,TE,0,0,9,0,1600
9th,RB,WR,RB,QB,TE,QB,WR,WR,RB,0,2,5,2,1600
6th,RB,WR,WR,TE,QB,RB,WR,WR,WR,1,4,3,1,1600
6th,RB,RB,RB,RB,TE,QB,TE,QB,WR,0,0,9,0,1600
6th,RB,RB,WR,QB,TE,QB,TE,WR,WR,0,2,7,0,1600
1st,WR,WR,RB,WR,WR,RB,WR,QB,QB,0,4,4,1,1600
4th,RB,WR,WR,WR,QB,TE,QB,TE,WR,0,6,3,0,1600
1st,RB,RB,RB,WR,WR,QB,QB,WR,TE,0,2,6,1,1600
1st,RB,WR,RB,WR,TE,WR,RB,TE,QB,1,2,4,2,1600
1st,WR,RB,WR,QB,WR,RB,RB,QB,TE,0,5,4,0,1600
12th,RB,RB,RB,RB,TE,QB,TE,QB,WR,0,0,9,0,1600
12th,RB,WR,WR,WR,QB,WR,TE,QB,TE,0,6,3,0,1600
1st,RB,WR,RB,WR,TE,QB,QB,WR,TE,0,4,4,1,1600
4th,RB,WR,RB,QB,RB,WR,QB,WR,TE,0,2,5,2,1600
6th,WR,RB,WR,QB,TE,WR,QB,QB,WR,0,4,4,1,1599.90958
1st,RB,RB,WR,WR,WR,QB,RB,WR,RB,1,1,5,2,1599.89896
6th,RB,WR,QB,WR,WR,RB,QB,TE,RB,0,4,4,1,1599.87022
1st,RB,RB,RB,TE,RB,WR,RB,QB,TE,1,0,8,0,1599.84574
1st,RB,RB,RB,WR,WR,TE,QB,TE,QB,0,2,7,0,1599.7946
6th,WR,RB,TE,TE,QB,WR,QB,WR,RB,0,3,6,0,1599.77898
1st,RB,RB,WR,WR,RB,WR,RB,TE,QB,1,0,7,1,1599.68302
6th,RB,WR,RB,TE,QB,WR,TE,WR,RB,1,2,6,0,1599.63292
4th,WR,RB,WR,QB,RB,QB,TE,RB,TE,0,2,7,0,1599.62802
4th,WR,RB,TE,QB,WR,WR,QB,RB,RB,0,4,4,1,1599.60022
1st,RB,WR,RB,QB,WR,WR,QB,WR,WR,0,3,4,2,1599.57394
9th,RB,WR,QB,WR,QB,WR,TE,WR,RB,0,3,5,1,1599.51932
12th,RB,RB,RB,QB,TE,WR,QB,WR,TE,0,2,7,0,1599.45342
4th,RB,WR,RB,QB,QB,TE,WR,WR,WR,0,3,5,1,1599.45258
1st,WR,RB,RB,WR,WR,QB,TE,RB,RB,1,2,5,1,1599.4411
1st,WR,WR,WR,WR,WR,WR,WR,QB,RB,1,5,0,3,1599.41754
12th,WR,RB,TE,QB,WR,RB,WR,RB,WR,1,3,4,1,1599.41038
4th,RB,RB,RB,QB,RB,WR,TE,RB,TE,1,0,8,0,1599.39988
1st,WR,RB,TE,WR,QB,WR,QB,TE,RB,0,4,5,0,1599.39798
1st,WR,WR,WR,QB,RB,TE,WR,RB,QB,0,4,4,1,1599.38166
1st,RB,RB,RB,WR,WR,WR,WR,TE,QB,1,1,6,1,1599.36716
12th,WR,RB,QB,WR,RB,WR,QB,TE,RB,0,2,6,1,1599.33038
6th,WR,WR,RB,TE,TE,WR,RB,QB,WR,1,3,5,0,1599.31272
9th,RB,RB,QB,RB,WR,QB,TE,TE,WR,0,2,6,1,1599.31076
9th,RB,WR,QB,QB,TE,RB,WR,WR,RB,0,3,5,1,1599.29658
4th,RB,RB,RB,WR,WR,QB,QB,TE,WR,0,1,7,1,1599.24084
1st,RB,WR,TE,RB,RB,WR,QB,QB,RB,0,3,5,1,1599.23148
1st,RB,QB,WR,RB,TE,WR,QB,RB,RB,0,3,5,1,1599.11854
12th,RB,RB,WR,TE,RB,WR,WR,QB,RB,1,0,7,1,1599.09052
4th,RB,RB,RB,QB,WR,QB,WR,WR,WR,0,1,6,2,1599.00306
1st,RB,RB,WR,WR,RB,TE,RB,QB,QB,0,3,5,1,1599
4th,RB,RB,RB,TE,QB,QB,WR,WR,WR,0,0,9,0,1599
12th,WR,RB,RB,RB,WR,WR,TE,QB,TE,1,2,6,0,1599
9th,RB,WR,WR,QB,WR,RB,WR,TE,QB,0,3,5,1,1599
1st,WR,RB,RB,WR,WR,QB,RB,QB,TE,0,3,4,2,1599
9th,RB,WR,QB,WR,WR,WR,WR,TE,RB,1,3,4,1,1599
12th,WR,RB,WR,WR,TE,WR,QB,RB,TE,2,4,3,0,1599
12th,WR,RB,RB,TE,WR,QB,QB,QB,RB,0,4,4,1,1599
1st,RB,RB,RB,RB,RB,WR,QB,QB,TE,0,0,8,1,1599
1st,RB,WR,TE,TE,QB,QB,RB,RB,RB,0,1,8,0,1599
9th,WR,WR,RB,QB,WR,RB,RB,WR,RB,1,1,4,3,1599
1st,RB,WR,WR,WR,TE,RB,QB,TE,RB,1,4,4,0,1599
9th,WR,RB,RB,WR,WR,QB,RB,QB,TE,0,3,4,2,1599
9th,RB,RB,QB,WR,WR,WR,RB,QB,TE,0,2,5,2,1599
1st,WR,WR,RB,RB,WR,QB,TE,QB,TE,0,4,4,1,1599
4th,RB,WR,WR,WR,QB,WR,TE,QB,RB,1,3,4,1,1599
